Kbytes,RSS,Dirty,Mode,Mapping
       4,       4,       0, r-x--, java
       4,       4,       4, r----, java
       4,       4,       4, rw---, java
    4492,    4364,    4364, rw---,   [ anon ]
 1303040, 1190400, 1190400, rw---,   [ anon ]
       4,       0,       0, -----,   [ anon ]
    8192,      12,      12, rw---,   [ anon ]
       4,       0,       0, -----,   [ anon ]
    8192,      12,      12, rw---,   [ anon ]
       4,       0,       0, -----,   [ anon ]
    8192,    2048,    2048, rw---,   [ anon ]
   47132,   14336,   14336, rw---,   [ anon ]
   18404,       0,       0, -----,   [ anon ]
       4,       0,       0, -----,   [ anon ]
    8192,      12,      12, rw---,   [ anon ]
       4,       0,       0, -----,   [ anon ]
    8192,      12,      12, rw---,   [ anon ]
     268,     128,       0, r-x--, libjpeg.so.8.0.2
    2048,       0,       0, -----, libjpeg.so.8.0.2
       4,       4,       4, r----, libjpeg.so.8.0.2
       4,       4,       4, rw---, libjpeg.so.8.0.2
      64,      64,      64, rw---,   [ anon ]
      40,      32,       0, r-x--, libjavajpeg.so
    2044,       0,       0, -----, libjavajpeg.so
       4,       4,       4, r----, libjavajpeg.so
       4,       4,       4, rw---, libjavajpeg.so
     148,      16,       0, r-x--, libpng12.so.0.50.0
    2044,       0,       0, -----, libpng12.so.0.50.0
       4,       4,       4, r----, libpng12.so.0.50.0
       4,       4,       4, rw---, libpng12.so.0.50.0
       4,       0,       0, -----,   [ anon ]
    8192,      12,      12, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
       4,       0,       0, -----,   [ anon ]
    8192,      12,      12, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
       4,       0,       0, -----,   [ anon ]
    8192,      12,      12, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      24,      24, rw---,   [ anon ]
     156,     116,       0, r-x--, libexpat.so.1.6.0
    2048,       0,       0, -----, libexpat.so.1.6.0
       8,       8,       8, r----, libexpat.so.1.6.0
       4,       4,       4, rw---, libexpat.so.1.6.0
     628,     276,       0, r-x--, libfreetype.so.6.11.1
    2044,       0,       0, -----, libfreetype.so.6.11.1
      24,      24,      24, r----, libfreetype.so.6.11.1
       4,       4,       4, rw---, libfreetype.so.6.11.1
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,     100,     100, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,     100,     100, rw---,   [ anon ]
       4,       0,       0, -----,   [ anon ]
    8192,    2048,    2048, rw---,   [ anon ]
   10908,    2048,    2048, rw---,   [ anon ]
   54628,       0,       0, -----,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
       4,       4,       0, r--s-, devices.js
       4,       4,       0, r--s-, sites.js
       4,       4,       0, r--s-, gateways.js
       4,       4,       0, r--s-, about.css
      68,      68,       0, r--s-, ui-bg_glass_65_ffffff_1x400.png
       4,       4,       0, r--s-, register.png
       4,       4,       0, r--s-, installLicense_24.png
       4,       4,       0, r--s-, commonwizard.js
       8,       8,       0, r--s-, jquery.tablescroll.js
       4,       4,       0, r--s-, license.css
       4,       4,       0, r--s-, commonwizard.css
       4,       4,       0, r--s-, pm_zones_24.png
       4,       4,       0, r--s-, power_24.png
       4,       4,       0, r--s-, demand-response_24.png
       4,       4,       0, r--s-, device_profiles.png
       4,       4,       0, r--s-, zone_config_24.png
     152,     152,       0, r--s-, accounts_24.png
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,     156,     156, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      92,      92, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
       4,       0,       0, -----,   [ anon ]
     128,      12,      12, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,     156,     156, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
      12,       0,       0, -----,   [ anon ]
    1016,      96,      96, rw---,   [ anon ]
